service,device_type,timestamp,pixel,fps,pv,surprise
CV,NX,2024-07-31 13:33:39.357586,720,15,0.0,474.94998388885625
CV,NX,2024-07-31 13:33:44.437388,480,5,0.0,3.511662739845291
CV,NX,2024-07-31 13:33:54.695640,480,25,0.06234375,605.6197097113754
CV,NX,2024-07-31 13:33:59.764959,1080,25,0.0467578125,3.9333377966474763
CV,NX,2024-07-31 13:34:59.979467,1080,5,0.22629513888888889,190.55116591659282
CV,NX,2024-07-31 13:35:05.219505,480,25,0.20444428261781855,650.1943867884096
CV,NX,2024-07-31 13:35:10.446522,480,25,0.19167464484124705,558.4378958720197
CV,NX,2024-07-31 13:35:15.678325,480,20,0.2567635436864998,412.26479589000667
CV,NX,2024-07-31 13:35:20.902745,480,25,0.24428364377071585,599.2944075789012
CV,NX,2024-07-31 13:35:26.098711,480,15,0.29919971227605846,347.72823795406
CV,NX,2024-07-31 13:35:31.343457,480,25,0.2834455498527654,556.8137020289108
CV,NX,2024-07-31 13:35:36.598095,480,20,0.32154383736503495,405.88900013164573
CV,NX,2024-07-31 13:35:41.813201,480,20,0.346184696029263,430.91250739492955
CV,NX,2024-07-31 13:35:47.023939,480,20,0.3891752140308834,347.7886275901561
CV,NX,2024-07-31 13:35:52.267163,480,20,0.4082301997621578,419.977278983135
CV,NX,2024-07-31 13:35:57.513393,480,20,0.43209081227702295,392.0095537070956
CV,NX,2024-07-31 13:36:02.730025,480,20,0.45005605861366865,403.34122539660945
CV,NX,2024-07-31 13:36:07.983433,480,20,0.47490208500447423,358.25713799028915
CV,NX,2024-07-31 13:36:13.200028,480,20,0.48693848842529136,411.92086327939285
CV,NX,2024-07-31 13:36:18.415397,480,20,0.4977712515040268,411.42206083308326
CV,NX,2024-07-31 13:36:23.630215,480,20,0.5143608988683039,370.6378413233059
CV,NX,2024-07-31 13:36:28.882718,480,20,0.5244982139122429,399.75477779178686
CV,NX,2024-07-31 13:36:34.123941,480,20,0.5371151393943193,383.0253638578114
CV,NX,2024-07-31 13:36:39.336002,480,20,0.5406460262664544,432.8327395571256
CV,NX,2024-07-31 13:36:44.601881,480,20,0.5574948729212532,342.7951984224493
CV,NX,2024-07-31 13:36:49.857502,480,20,0.558077745987727,450.21402429735394
CV,NX,2024-07-31 13:36:55.079893,480,20,0.562332968358552,424.27535809264737
CV,NX,2024-07-31 13:37:00.295658,480,20,0.5683780692501819,410.2714127550392
CV,NX,2024-07-31 13:37:05.527381,480,20,0.5785573287362384,367.7340670460977
CV,NX,2024-07-31 13:37:10.753526,480,20,0.5818345844450304,419.1391923435397
CV,NX,2024-07-31 13:37:15.985466,480,20,0.5850234339588053,420.64977931340417
CV,NX,2024-07-31 13:37:21.207846,480,20,0.5919026838219236,384.0048217662611
CV,NX,2024-07-31 13:37:26.446377,480,20,0.5936309196343049,422.79666994069714
CV,NX,2024-07-31 13:37:31.693288,480,20,0.6012661469760879,371.7533267379522
CV,NX,2024-07-31 13:37:36.927796,480,20,0.6006049713481997,446.34868306218743
CV,NX,2024-07-31 13:37:42.163035,480,20,0.6079097386536892,366.7805354337088
CV,NX,2024-07-31 13:37:47.388635,480,20,0.6094992072552315,420.3758044624559
